Training log for: physics_loss_only
Started: 2026-01-20 12:26:22
============================================================

Epoch 086 | Train 1.571e-02 | Val 5.368e-02 | D:6.4% σ:12.6% | LR 5.0e-05
Epoch 087 | Train 1.565e-02 | Val 5.911e-02 | D:7.3% σ:13.8% | LR 5.0e-05
Epoch 088 | Train 1.535e-02 | Val 3.618e-02 | D:6.3% σ:10.3% | LR 5.0e-05
Epoch 089 | Train 1.514e-02 | Val 4.378e-02 | D:7.3% σ:9.8% | LR 5.0e-05
Epoch 090 | Train 1.518e-02 | Val 5.962e-02 | D:7.7% σ:13.9% | LR 5.0e-05
Epoch 091 | Train 1.510e-02 | Val 7.213e-02 | D:7.8% σ:14.8% | LR 2.5e-05
Epoch 092 | Train 1.437e-02 | Val 3.299e-02 | D:6.0% σ:9.3% | LR 2.5e-05 ✓ SAVED
Epoch 093 | Train 1.343e-02 | Val 4.072e-02 | D:6.3% σ:10.4% | LR 2.5e-05
Epoch 094 | Train 1.315e-02 | Val 3.737e-02 | D:6.6% σ:9.4% | LR 2.5e-05
Epoch 095 | Train 1.330e-02 | Val 4.253e-02 | D:6.6% σ:10.2% | LR 2.5e-05
Epoch 096 | Train 1.341e-02 | Val 4.163e-02 | D:6.7% σ:10.0% | LR 2.5e-05
Epoch 097 | Train 1.310e-02 | Val 3.565e-02 | D:6.2% σ:9.7% | LR 2.5e-05
Epoch 098 | Train 1.298e-02 | Val 3.502e-02 | D:6.2% σ:9.5% | LR 2.5e-05
Epoch 099 | Train 1.285e-02 | Val 3.898e-02 | D:6.3% σ:10.7% | LR 2.5e-05
Epoch 100 | Train 1.325e-02 | Val 3.240e-02 | D:6.2% σ:9.2% | LR 2.5e-05 ✓ SAVED

============================================================
Training completed: 2026-01-20 13:55:05
Best epoch: 100
Best val loss: 3.240154e-02
